[stopId]	[tripId]	[user]	[check-in time]	[latitude]	[longitude]	[location id]
3889	5584790	53	00:37:01	37.7007179833	-122.4837067333	214353
3453	5561351	53	00:36:38	37.7015723809	-122.4854832888	10833
7355	5683220	53	00:36:07	37.7018272877	-122.4845713377	5860288
5695	5559630	53	00:35:56	37.69995647	-122.48592942	5288891
4751	5631191	1174	04:29:50	37.7895346891	-122.3887160422	53486
3749	5568293	1174	04:11:12	37.7894581	-122.38967195	1473203
5146	5553764	1174	02:47:41	37.7858259859	-122.4065190554	14710
4294	5575828	1174	02:30:13	37.7879542018	-122.4075329304	9114
3362	5568629	2884	00:14:00	37.7783555476	-122.3894011974	10677
5649	5555844	6556	14:08:34	37.7838466333	-122.3940084333	148867
5529	5601438	6556	02:51:54	37.76757748	-122.406822481	5915895
3295	5573807	13728	17:43:18	37.7933191791	-122.3998516431	160325
6964	5563794	22412	00:21:34	37.7513614315	-122.4328342151	39150
6047	5582579	31793	03:21:50	37.7918941521	-122.4106112441	32990
5741	5562788	31793	02:00:48	37.7879542018	-122.4075329304	9114
5692	5556248	31793	02:00:24	37.7858259859	-122.4065190554	14710
7191	5559865	32342	01:03:15	37.7783555476	-122.3894011974	10677
6075	5583677	33655	19:37:04	37.7925665392	-122.4065244198	78632
3266	5683071	43770	22:07:35	37.7763605	-122.4232935833	12282
5368	5583890	65324	19:37:28	37.7845541144	-122.4067282677	38717
7689	5566425	66044	19:47:32	37.7824215609	-122.3925822973	15023
4862	5568417	71328	07:29:16	37.7603843983	-122.4146461487	18396
4283	5602579	73048	02:11:55	37.7918941521	-122.4106112441	32990
6787	5571472	73048	02:01:48	37.7922528415	-122.4106550217	25865
3899	5584486	77062	03:37:08	37.77240405	-122.40754815	340326
6513	5570942	130089	02:55:23	37.7871148983	-122.3981271786	109693
5002	5564389	150863	08:30:53	37.76092618	-122.43528902	147913
3936	5568397	150863	08:30:14	37.7608933159	-122.4350202084	5897897
4382	5582012	195402	21:16:04	37.7937272501	-122.397544704	992808
3052	5573055	195402	00:06:25	37.7893183833	-122.3966682333	19469
5684	5575633	195402	00:05:58	37.7895914453	-122.3978349524	896643
